start,stop,speaker,words
2547.46,2640.99,SPEAKER_05,"you know and there is a very cool banging soundtrack to it and you know and you know that the point of this is that this is a cool thing to do and who made your kind of try to make everything look like a cool thing because that is the moral stance that you were teaching that's the problem. someone put out a trade that even when things like that had come out of this is after Justified ending he died play some whole time it seemed like it was supposed to be very careful when I do bad guys and which is why when I play bad guys I don't disrespect them because I don't want to look at me and feel like this but most other actors I don't think like this and don't have these moral standards when it comes to them because they're looking for the best part that they can get and the best part of the edible things you know and then you woke the actions they will do it stuff cause I'm being as agency of course  reason to want it is because they genuinely believe that these kind of alpha men are cool and that's what we are having a disc that actually, this is just a movie. station a little further away from the director's responsibility are we now our society and I and I wasn't also I believe that we've gotten to this point in your feels like animals like animals"
2641.98,2836.14,SPEAKER_01,"it's responding to the environment evolved based on the environment the kind of fungus that gets on YouTube the kind of things that get said about women. just things that get about human in the comments section of the man who sits in his car and his. on video is an influence with the huge following the sort of like Jim sort of testosterone need ribbon idea of a man going back to the traditional idea of a man pushing past this is nonsense that you expect us to soften up you expect us to do  is coming from women Israel is this a reflection off that push back in our society right now it is and it is at one point in time to be metrosexual in October to be nice and then to Route 22 healing Golden Brooks and then today men are threatened Mane Attraction at the very basic level how can I see a single women at their bosses dancing women in a behaving Morgan equals casino this phone in the Last 5 Years in on you see the list of films which have made it big from South not in a very very which 5 week long. you look at all these films what is the reflection of the society in our society or you can infer the choice is yours and then today's filmmakers and storytellers choosing the path of the society he's a real estate he's attending based on fact because you're only trying the mirror but you know in this case and they're not showing mirroring the society then actually creating a hyperbolic story you know of one licking aspect of something and then making it a story out of it I mean while we can irrelevant retrospective to a generation but having said all that somewhere for the sake of going to be different and I'm wanting to be personal if people start to think about in a how long is me to continue of this action reality crudite in a row metrosexual almendra alpha male behavior in the society and then killing people in our view if you don't fight because somebody kills his father he's going to go and then King 5,000 people in the movie if you keep a headcount of that so that's fine it's so exciting to take revenge of one killing to 5,000 people isn't killing in line to all this hyperbolic things in which are not really mirroring the society revenge and then you go to some extent to to really make that up and then you struggle and then do that in our 15 mom you know it has a beautiful story line and it does you know it's a fiction but it does create the tension in the store and also the characters has gone a little overboard he's my open and while I'm no judge of anybody somebody else's work I don't like I don't see it but by and large people who create content must be no keep it filter update on spell consciousness in what decorating GTA online content creator alfamidi ideas and is watched by very very young boys and it was said that the young boy who happened to follow him and watch him on the internet oyster Shack is misogynistic ideas and it said that's one of the girls that is very different and is informed by those videos that they which would spend a minute talking about it in the comments section is impact on society "
2849.79,2926.48,SPEAKER_05,find a fictional freedom of movement in characteristic but you're imagining a different India right now a look at where our adventure look at how much average look at what it did for not just SS rajamouli but at the actors and the music won an Oscar if I put because I was ready have any reward for that if you was right hello good morning compared to what that feeling the impact of that form in the number of people are peaches in the number to just come back to a channel that is just about thousand subscribers uh it's not comfortable putting everything together it is somebody's making a feeling somebody's making YouTube video somebody is making everything has its own light everything has its own reach everything goes to different different places but that doesn't mean that you know but you giving on in my comment section is if you don't like it don't watch it why why did you go to watch the fight before you know I'm going to like it if somebody is treating you badly you were going to say something you're not going to
2927.8,3004.54,SPEAKER_04,if it's if something bothers you you say something freedom of speech in in in in that scenario this is Life gay comment section below Cowboy say Google how does respectful imagine live order the impunity with which men on the internet operate don't make faces W telling
2989.3,2989.75,SPEAKER_00,use binder with freaking fair this is on somebody telling me don't make faces life to my face you do you know who is making these videos
3005.02,3093.03,SPEAKER_04,Sandeep knows who his famous for in cop they're not like silly gullible in the sink they are saying and then that's why I would have to say it also has to be that much calculator on our own channel guide for us our voice our descent are pushed back to the end of the world as cultural commentators as women who feel like they have a voice and the vocabulary and the words in whatever language we choose to put that over I cannot rest if I don't do it I do take Coronavirus you don't owe us has the ability and the in that in the universe something came out is that message that's going off right now and how much pressure poetry.com sort of masculine energy
3093.03,3093.57,SPEAKER_05,I think we were talking and I think the society into a certain kind of
3093.18,3094.0,SPEAKER_04,Alpha behavior in a certain kind of chest thumping you're not angry bully behavior is the easiest thing to do actually you know it's far more difficult and that's fair you know feels like those are tough to make and they get made very less because it's pretty
3102.06,3135.44,SPEAKER_05,"it's difficult to evoke it is far more difficult to evoke a or Humanity from Cinema but it is easier to evoke abrogation. Or anger or irritability or misogyny because the doors are the emotions which are Spitta she don't do the base emotions as much effort and the unfortunate thing is that because most filmmakers 120-b she also make money because this is a Business Journal calling you. But ultimately this, someone and most producers and directors are always looking at the easy way out to make that kind of money versus taking the toughest route"
3141.91,3379.35,SPEAKER_03,"and seeing something that is the truth and again I'm not saying that this is not to leave anger inside you very much must be very much must be and that is also a how to keep things to talk about but I think it's the way if you don't think this one is for the Arts then now are you know what I mean you don't feel like I feel like if you have not studied science and not study, and for did your parents to get into the film industry to get into the media industry to call yourself an artist to write an origin story to put out into the world because I showed one woman slapping another woman now you tell me what what are you going to say to me you know that's a problem I feel like this again I'm not at all saying that we should not be allowed to make this and that he wants to Nick Nick it but I'm saying that you know it's really easy but Nick has like that to point fingers at everybody else and say it or you want to send it but then we talked about the fact that the reason this what the reason it is distasteful according to us is this and not in the context of the character but in the context of what it is you presenting to the side yard light Spigen who is getting too bad when you get offended then your army of supporters than you know Latin to us College memes especially women who has always taken from the start you know I have just been single comment sections it's all just crossed up are you kind of always give you no free pass to people to be like hell this guy acting like an animal for you too as well"
3378.96,3388.82,SPEAKER_04,I'm doing other things that if at any point of time as an example
3387.43,3389.53,SPEAKER_00,I would go out and actually see folks this is just awful this is being made only for entertainment at this is about an animal this is about a character who behaves like an animal
3388.92,3402.95,SPEAKER_04,don't take it seriously don't endorsing the thing that happens in this Sunday I just need it for you and things like that
3396.92,3397.0,SPEAKER_00,that so what
3397.0,3397.72,SPEAKER_03,actors and filmmakers and writers should not have to go out and justify their phones once the phones are out
3397.72,3397.73,SPEAKER_00,can you show me next time we can expect this from anyone to be like no no no I like to justify my movie this is my movie
3400.47,3450.76,SPEAKER_03, if your Lind actually and you intend actually is not to create something that is just to look at it for the sake of it and that is just for the sake of it
3417.0,3417.51,SPEAKER_00,if you have created a bad character likes everyone someone some
3449.24,3474.8,SPEAKER_04,you the one who actually stands up and says he's been doing it repeatedly while he speaks about it what is creating a society where terrible things happened and then because
3474.8,3479.36,SPEAKER_05,Daytona reviews of specialty Mason critics are the idea is to try to get us to shut up do not have the
3474.81,3475.03,SPEAKER_04,ideas for not express his opinion who is responsible for that who is responsible for hundreds and thousands of people working together to silence
3479.36,3482.5,SPEAKER_01,what is the responsibility of a musty
3482.93,3483.37,SPEAKER_05,can you give things to young people they will take it correct
3483.62,3486.85,SPEAKER_01,all the males in the country of that age wanted to be like that it is like asking children. Do you want chocolate and then you give them free chocolate
3487.04,3487.34,SPEAKER_00,and then they were leopard updated they were naughty they will not know the repercussions of eating so many cheese chocolate somewhere.
3487.39,3517.21,SPEAKER_01,so that he's going to like that and then the people were influences need to have you give sex drapes in a film are we really getting those films so it is not. he's not the fact that you're making and what kind of impact are you making and then you as an individual as an influencer as a writer and as what you are as an individual what impact are you making on people in fact that you want or do you want to know some of that impact you can then or you can can exaggerate things to make it Point birthday you can stay away from that exaggeration and then what is a modal rich people get it's okay to go in and kill people it's okay to fight with no coffee it was a feeling but thank you for coming that was me who be pregnant woman not having a I've been trying to anyways besides the point
3525.8,3526.53,SPEAKER_04,many reviewers on YouTube who will teach young girls in the country that they should be going out and having
3532.67,3573.01,SPEAKER_01,looking for a gas insert they should be sending out that this kind of this is the kind of behavior that young women shoot in Dallas it how is that different from the argument you're making right now Medical Clinic you should leave it to individuals and that their Consciousness is nothing you can do I kind of feel my want to make I'll make the kind of film you want to watch chasing people who has the power to use the power misuse the power and then guide the power in a different direction at the end of the day what do you want to be known for
3582.11,3628.31,SPEAKER_05,I think there is something in our with your conscience tell you that is it worth living the life which you have or you're not what is what determines your own morality you and I are not actually because I be sorry viewers Choice Injustice because my face is not in the kitchen and that place is not been in the kitchen for many many years and it is a because we are here and we have opinions and just like sleep on the who can make you feel like animals
3634.02,3637.05,SPEAKER_04,the ability to make the show that has the ability to have an opinion on this show and we can put it out on YouTube if you don't like it
3650.14,3673.3,SPEAKER_01,erase if you don't like this I'm just from this whole conversation dating this one thing of a mr. Heater just called film critics mother's telling children. I will be your mother I think I mean feed the question that you asked about the time I think eventually this discourse is important but you must be allowed to have this is the issue it feels like this is that day 1 to 100
3688.4,3693.9,SPEAKER_04,do any discourse that tries to raise a finger against
3694.42,3737.39,SPEAKER_05,and engage with those opinions as an artist don't engage with it from the lender Patrol you know if there is something that you find problem you talked about it and listen about it and try to come to a place where both of you a bit everybody can actually get to a place where you can stop understand allow for that thank you for coming as a film of cause women having agency in our country has not happened for a very very let's films that occurred in his agency's are far fewer and far more almost Cena's in Windham or innovative
3737.39,3749.14,SPEAKER_04,you know what the Irishman Coronavirus what is the evolution of what are you doing different in a film about violence that has not been done a thousand times
3751.38,3821.23,SPEAKER_03,do you think a certain kind of understanding of the world around you you know I mean I am not going to again a judge or asked the producer. to do what do you want to do something
3789.79,3789.86,SPEAKER_00,because you know they're already out there and unfortunately most people are not critically sitting back and look
3820.43,3825.08,SPEAKER_04,by this was made by this was not fit or whether or not this is an animalistic portrayal of weather or whether the school
3824.3,3920.99,SPEAKER_03,when did the smoking scene you know you will have like smoking is injurious to health killing people live in Judea to help out with no don't do it that's not something that you do Texas answered by the Blanchard and and murders and misogyny is absolutely okay never going to bed allow it to be YouTube to watch whatever you want this film is not should not be an endorsement of society
3921.89,3921.94,SPEAKER_00,get it. What is it and how much persons are in the in which Chevelle
3921.94,3921.99,SPEAKER_03,Shahrukh Khan almost is the lady in the van
3921.99,3922.16,SPEAKER_00,and he's completely cool with it he's like yeah and she's great at what she does by who am I allowed him because he knows that you
3922.16,3970.13,SPEAKER_03,in the same BS in in Japanese armies of women and if you're not looking and taking things are looking at that and saying that isn't
3922.23,3924.0,SPEAKER_00,I want to create an animal you suck talking about you.
3924.0,4015.73,SPEAKER_05,candy on one side tables on the same December which is about  gospel message is it is very cute you know which sort of alpha male you do a society's leaning towards right now I went to give the last word a woman should always have the last word citizen King it's a historical about how they film came about and why the film is as important as it is now Theodore Carter paraphrasing opposite word
4016.21,4075.24,SPEAKER_04,diesel engine Seto medical job of the people in France the word people sitting in the dark room you put your own morality on viata free country as much as people are free to make the we are also free to push back
4049.52,4049.87,SPEAKER_00,but must one must always always what is the
4075.58,4099.79,SPEAKER_04,who sings the song just to drop this conversation we first establish the facts and I agree with it that the director of the film animal is fully within his rights to make whatever. principal is nothing legally wrong with the film that is made do films influence young people older people things to specially in India make Heroes out of style
4100.69,4101.01,SPEAKER_00,it is a responsibility that comes with being that
4101.01,4104.17,SPEAKER_04,Lumix this in my opinion
4101.04,4101.15,SPEAKER_00,that's available on the internet television and newspapers and books
4101.15,4232.64,SPEAKER_05,on the big screen so while the makers of the film animal of fully within their rights  40 likes and dislikes to tell other people as long as the violence doesn't become a reality in the protest or India enjoy your freedom of speech enjoy       
